Characteristic,Overall (n=299),Censored (n=203),Died (n=96),SMD (Died − Censored)
"Age, years","60.0 [51.0, 70.0]","60.0 [50.0, 65.0]","65.0 [55.0, 75.0]",+0.54
"Ejection fraction, %","38.0 [30.0, 45.0]","38.0 [35.0, 45.0]","30.0 [25.0, 38.0]",-0.58
"Serum creatinine, mg/dL","1.1 [0.9, 1.4]","1.0 [0.9, 1.2]","1.3 [1.1, 1.9]",+0.57
"Serum sodium, mEq/L","137.0 [134.0, 140.0]","137.0 [135.5, 140.0]","135.5 [133.0, 138.2]",-0.41
"Platelets, ×10³/µL","262.0 [212.5, 303.5]","263.0 [219.5, 302.0]","258.5 [197.5, 311.0]",-0.10
"Creatine phosphokinase, mcg/L","250.0 [116.5, 582.0]","245.0 [109.0, 582.0]","259.0 [128.8, 582.0]",+0.12
Male sex,194 (64.9%),132 (65.0%),62 (64.6%),-0.01
Anaemia,129 (43.1%),83 (40.9%),46 (47.9%),+0.14
Diabetes,125 (41.8%),85 (41.9%),40 (41.7%),-0.00
High blood pressure,105 (35.1%),66 (32.5%),39 (40.6%),+0.17
Current smoking,96 (32.1%),66 (32.5%),30 (31.2%),-0.03
